Tweet,Polarity,Subjectivity
Leaf collection for a leaf mould cage we are going to make during the week  Leaf mould is very useful for home made pot,0.39,0.0
Stunning green foliage � plants horticulture gardening nature,0.15,0.65
ITS IMPORTANT FOR US TO BE MORE SELF SUFFICIENT   Seed Guy Non GMO Heirloom Seed Packages From 2020,0.45,0.75
201,0.0,0.0
tabletop cp,0.0,0.0
��☘️����,0.0,0.0
Heres some basics for helping reduce spider mites  spidermites pests pestsolutions planting gardening,0.0,0.0
Todays favourite rose - Belle de Jour - Rose of the Year for 2021 having a pretty late flowering- a moment of much needed che,0.26999999999999996,0.74
Silk Artificial Flowers for Wedding Decoration    bloomyflowers,-0.6,1.0
Not my usual share but it made me chuckle and I thought gardening Twitter might appreciate it gardeningtips,-0.25,0.25
Robust green shoots and a long harvest make sprouting broccoli a superb crop for late winter and spring – a real treat pic,0.13,0.5199999999999999
Discover the various species of stinzen plants   stinzenplants discover nature naturephotog,0.0,0.5
2020 is bringing us shinee gardening content,0.0,0.0
Back to gardening,0.0,0.0
"Always amazed at the beauty of a single rose, especially in November  gardening roses",0.1761904761904762,0.7214285714285714
We think every school should have a garden and every child should learn about gardening and ecology   Do you agree htt,0.0,0.0
"Our Flight bowls are the perfect addition to any garden or courtyard, or inside the home as a beautiful centre piece  A pe",0.925,1.0
We think every school should have a garden and every child should learn about gardening and ecology   Do you agree htt,0.0,0.0
AAAAA,0.0,0.0
"Master this gardening technique with tips from our experts Most plants thrive in soil-some, however, can actually",0.25,0.3
"Soggy doesnt seem to a word that spell checker knows must be Yorkshire term, perhaps drenched will do rain water gardenin",0.0,0.0
�,0.0,0.0
Todays favourite rose - Belle de Jour - Rose of the Year for 2021 having a pretty late flowering- a moment of much needed che,0.26999999999999996,0.74
We think every school should have a garden and every child should learn about gardening and ecology   Do you agree htt,0.0,0.0
Not my usual share but it made me chuckle and I thought gardening Twitter might appreciate it gardeningtips,-0.25,0.25
Not my usual share but it made me chuckle and I thought gardening Twitter might appreciate it gardeningtips,-0.25,0.25
An archival wallpaper print featuring flowers and acanthus leaves by British designer John Henry Dearle  who was tr,0.0,0.0
"Please say no to poisonous slug pellets, pesticides and weedkillers Hedgehogs hoover up over 100 invertebrates every night P",0.0,0.0
GOOD MORNING TWITTER empoweringwomen  WordsOfWisdom  WritingCommunity  gardening  kindness,0.7,0.6000000000000001
Stunning green foliage � plants horticulture gardening nature,0.15,0.65
"Our Flight bowls are the perfect addition to any garden or courtyard, or inside the home as a beautiful centre piec",0.925,1.0
Not my usual share but it made me chuckle and I thought gardening Twitter might appreciate it gardeningtips,-0.25,0.25
bismillah,0.0,0.0
"For all those that love gardening like I do, that know the benefits;   -personally; physically & mentally -for the ecosyst",0.2,0.4
Walk the Line    BORDER DAY ONE Intro Walk the Line,0.0,0.0
omg,0.0,0.0
"Always amazed at the beauty of a single rose, especially in November  gardening roses",0.1761904761904762,0.7214285714285714
Not my usual share but it made me chuckle and I thought gardening Twitter might appreciate it gardeningtips,-0.25,0.25
Discover the various species of stinzen plants   stinzenplants discover nature,0.0,0.5
Not my usual share but it made me chuckle and I thought gardening Twitter might appreciate it gardeningtips,-0.25,0.25
Not my usual share but it made me chuckle and I thought gardening Twitter might appreciate it gardeningtips,-0.25,0.25
GRAFFITI ON A SIDEWALK THAT MATCHES UR BACK TATTOO  THE INK IS RUNNING I DIDNT EXPECT THAT  GILLETTE GOOD OJ  CAN I,0.35,0.30000000000000004
