Tweet,Polarity,Subjectivity
 To Zaku  This is what a real trump card is  Shino ,0.2,0.30000000000000004
�,0.0,0.0
"“Theyve been dealing with Trump for 4 years, theyre gonna have to start dealing with us in their faces” Trump supporter",0.0,0.0
"Under James Comey and Andrew McCabe, the FBI became an extension of the DNC designed to attack and persecute then-candidate",0.0,0.0
ma,0.0,0.0
"Trump has got more than 73 million votes He just needed 100,000 more votes in 3 states to get reelected Democracy in the wo",0.5,0.5
Is THIS what trump meant when he hold his terrorist Proud Boys to stand back and stand by  THEY ARE RIOTING   WHERES T,0.4,0.5
Trump is fiddling while America burns,0.0,0.0
leading the country through a devastating pan,-1.0,1.0
We will not fo,0.0,0.0
"“President Trump held all his rallies for the People This time, we are coming together to ral",0.0,0.0
2  Being arrested does not in,0.0,0.0
ZimpR,0.0,0.0
"“The duty of a president is to protect the national security of the United States, and this is the most prominent disease",0.5,0.75
His real lawyers all quit or lost in court so now the TV lawyers are being directed to make sure Trumps voters are as angry a,0.06666666666666665,0.7296296296296297
n,0.0,0.0
Giulianis Wild Four Seasons Rant Reportedly Scared Top Attorneys From Election Fight,0.3,0.45
Apoiadores de Trump Do outro lado: A esquerda  Isso você não vai ver na imprensa,0.0,0.0
Is THIS what trump meant when he hold his terrorist Proud Boys to stand back and stand by  THEY ARE RIOTING   WHERES T,0.4,0.5
He will not rest until America pays Trump is a criminal and his ego is hurt Hes going to make sure the next 4 years and,0.033333333333333326,0.47962962962962963
li,0.0,0.0
- Million MAGA March only sees a few thousand people - MillionMoronMarch is trending - Tru,-0.1,0.55
build,0.0,0.0
"Lololol, Trump drives by a mob of lunatics who support him on the way to play golf while they protest Trumps election loss",0.0,0.0
"Tяump let Putin hack the election, removed drop boxes from urban areas, crippled the USPS, forced long lines in big cit",-0.08750000000000001,0.17500000000000002
p,0.0,0.0
Heres a new piece for sale Get this dope ass picture of Calvin pissing on the Trump name This baby is on a 16 in x 20,0.13636363636363635,0.45454545454545453
"Just shut Trump down,  Hes a Lame Duck Outgoing Prevaricator-in-Chief   His Twitter feed is not only usele",-0.21851851851851853,0.6796296296296296
"“The daily virus reports prepared by Birxhave grown increasingly grim in recent weeks, aides said, but are largely igno",-0.19642857142857142,0.41964285714285715
Owen Shroyer addressing Trump supporters in Freedom Plaza rn,0.0,0.0
Another week of Senate Republicans confirming Trump judges instead of giving relief to working families in the books Mitch M,0.0,0.0
"Ive worked w  Ellis He is a partisan political operative In my opinion he is unqualified, lacks judgment & is dangerously",-0.3,0.5
Really nice that those that investigated Benghazi eight ways to Sunday are just chilling out as Trump guts national security,0.04999999999999999,0.95
"“The duty of a president is to protect the national security of the United States, and this is the most prominent disease",0.5,0.75
House Homeland Security chair Bennie Thompson takes aim at Trump admin just now after federal judge rules Acting DHS Sec Wo,-0.05,0.3
"In another major victory, a court has ruled the Trump administration cannot defy the Supreme Court and must continue th",0.0625,0.5
Trump supporters were out in DC all day and it was completely peaceful The other side showed up and now theyre attackin,0.0625,0.4375
build,0.0,0.0
leading the country through a devastating pan,-1.0,1.0
"Lol, apparently there are DOZENS of idiots at the MillionMoronMarch, and trump drove right past them to go golfing ����",0.017142857142857147,0.5271428571428571
Police are handing out bruises to BLM but are friendly with Trump supporters and the Proud Boys   Yet right-wing extremists,0.5875,0.75
Trump supporters were out in DC all day and it was completely peaceful The other side showed up and now theyre attackin,0.0625,0.4375
Really nice that those that investigated Benghazi eight ways to Sunday are just chilling out as Trump guts national security,0.04999999999999999,0.95
"Massive Crowds of People March in DC to Show Support for Trump, Demand Election Integrity",0.0,1.0
"Joe Biden is working harder to protect Americans as President-Elect than donald trump ever did as the so called, “preside",-0.1,0.0
"If trump actually tried to go theough with a lawsuit, ill draw france in a maid dress",-0.25,0.55
YES Never date someone with a different political perspective from yours My aunt wrote a book called Love In The Time of,0.16666666666666666,0.4333333333333333
